,Unnamed: 0,year,state,quarter,name,type,count,amount
278,6,2018,Arunachal-pradesh,q1,tirap district,TOTAL,945,1064265
279,7,2018,Arunachal-pradesh,q1,papum pare district,TOTAL,14224,32555848
280,8,2018,Arunachal-pradesh,q1,kurung kumey district,TOTAL,84,99417
281,9,2018,Arunachal-pradesh,q1,siang district,TOTAL,252,339472
282,10,2018,Arunachal-pradesh,q1,lower siang district,TOTAL,1292,2337961
283,11,2018,Arunachal-pradesh,q1,kra daadi district,TOTAL,207,495375
284,12,2018,Arunachal-pradesh,q1,changlang district,TOTAL,3195,5380749
285,13,2018,Arunachal-pradesh,q1,pakke kessang district,TOTAL,9,9131
286,14,2018,Arunachal-pradesh,q1,dibang valley district,TOTAL,2,170
287,15,2018,Arunachal-pradesh,q1,west kameng district,TOTAL,5787,9540633
288,16,2018,Arunachal-pradesh,q1,east siang district,TOTAL,3286,5533620
289,17,2018,Arunachal-pradesh,q1,upper subansiri district,TOTAL,735,1358368
290,18,2018,Arunachal-pradesh,q1,east kameng district,TOTAL,529,473825
291,19,2018,Arunachal-pradesh,q1,lohit district,TOTAL,3747,11496950
292,20,2018,Arunachal-pradesh,q1,lepa rada district,TOTAL,288,403149
293,21,2018,Arunachal-pradesh,q1,tawang district,TOTAL,2334,5055665
294,22,2018,Arunachal-pradesh,q1,namsai district,TOTAL,1400,2162985
295,0,2018,Arunachal-pradesh,q2,lower dibang valley district,TOTAL,1827,2561238
296,1,2018,Arunachal-pradesh,q2,lower subansiri district,TOTAL,1666,4113742
297,2,2018,Arunachal-pradesh,q2,longding district,TOTAL,4634,10271170
298,3,2018,Arunachal-pradesh,q2,west siang district,TOTAL,2579,7610990
299,4,2018,Arunachal-pradesh,q2,kamle district,TOTAL,12,23654
300,5,2018,Arunachal-pradesh,q2,upper siang district,TOTAL,240,494895
301,6,2018,Arunachal-pradesh,q2,tirap district,TOTAL,1903,3126394
302,7,2018,Arunachal-pradesh,q2,papum pare district,TOTAL,25363,66520931
303,8,2018,Arunachal-pradesh,q2,kurung kumey district,TOTAL,83,123737
304,9,2018,Arunachal-pradesh,q2,anjaw district,TOTAL,7,7871
305,10,2018,Arunachal-pradesh,q2,siang district,TOTAL,336,740233
306,11,2018,Arunachal-pradesh,q2,lower siang district,TOTAL,2292,2179452
307,12,2018,Arunachal-pradesh,q2,kra daadi district,TOTAL,247,987136
308,13,2018,Arunachal-pradesh,q2,changlang district,TOTAL,6066,13294259
309,14,2018,Arunachal-pradesh,q2,pakke kessang district,TOTAL,48,58360
310,15,2018,Arunachal-pradesh,q2,dibang valley district,TOTAL,68,65769
311,16,2018,Arunachal-pradesh,q2,west kameng district,TOTAL,10466,25521321
312,17,2018,Arunachal-pradesh,q2,east siang district,TOTAL,6363,15285584
313,18,2018,Arunachal-pradesh,q2,upper subansiri district,TOTAL,1285,2911910
314,19,2018,Arunachal-pradesh,q2,east kameng district,TOTAL,522,1825297
315,20,2018,Arunachal-pradesh,q2,lohit district,TOTAL,6962,20520619
316,21,2018,Arunachal-pradesh,q2,lepa rada district,TOTAL,511,731445
317,22,2018,Arunachal-pradesh,q2,tawang district,TOTAL,5447,13722375
318,23,2018,Arunachal-pradesh,q2,namsai district,TOTAL,3230,6271811
319,0,2018,Arunachal-pradesh,q3,lower dibang valley district,TOTAL,2824,6074558
320,1,2018,Arunachal-pradesh,q3,lower subansiri district,TOTAL,2346,5154232
321,2,2018,Arunachal-pradesh,q3,longding district,TOTAL,5288,18327334
322,3,2018,Arunachal-pradesh,q3,west siang district,TOTAL,3337,12966153
323,4,2018,Arunachal-pradesh,q3,kamle district,TOTAL,93,30505
324,5,2018,Arunachal-pradesh,q3,upper siang district,TOTAL,250,743956
325,6,2018,Arunachal-pradesh,q3,tirap district,TOTAL,3322,7479257
326,7,2018,Arunachal-pradesh,q3,papum pare district,TOTAL,43282,101080479
327,8,2018,Arunachal-pradesh,q3,kurung kumey district,TOTAL,255,303027
328,9,2018,Arunachal-pradesh,q3,anjaw district,TOTAL,13,95404
329,10,2018,Arunachal-pradesh,q3,siang district,TOTAL,615,2141734
330,11,2018,Arunachal-pradesh,q3,lower siang district,TOTAL,2625,3045591
331,12,2018,Arunachal-pradesh,q3,kra daadi district,TOTAL,436,1606758
332,13,2018,Arunachal-pradesh,q3,changlang district,TOTAL,10162,20494175
333,14,2018,Arunachal-pradesh,q3,pakke kessang district,TOTAL,165,305165
334,15,2018,Arunachal-pradesh,q3,dibang valley district,TOTAL,29,196467
